Area,Sex,Yr,Age,F
1,1,1965,13,0.00622975000000001
2,1,1965,13,0.00161250000000002
1,2,1965,13,0.01738175
2,2,1965,13,0.00268300000000005
1,1,1966,13,0.00589249999999999
2,1,1966,13,0.00362100000000001
1,2,1966,13,0.0167870000000001
2,2,1966,13,0.00530975
1,1,1967,13,0.00418075000000001
2,1,1967,13,0.00471674999999999
1,2,1967,13,0.01133575
2,2,1967,13,0.00614700000000001
1,1,1968,13,0.00862175000000001
2,1,1968,13,0.00438525000000001
1,2,1968,13,0.0243065
2,2,1968,13,0.00445375000000003
1,1,1969,13,0.00560550000000001
2,1,1969,13,0.00880475
1,2,1969,13,0.01544125
2,2,1969,13,0.00725500000000001
1,1,1970,13,0.00600600000000001
2,1,1970,13,0.00488825000000001
1,2,1970,13,0.016628
2,2,1970,13,0.00456800000000002
1,1,1971,13,0.0096715
2,1,1971,13,0.01743125
1,2,1971,13,0.0265535000000001
2,2,1971,13,0.01152925
1,1,1972,13,0.01076425
2,1,1972,13,0.015396
1,2,1972,13,0.0273395000000001
2,2,1972,13,0.0110675
1,1,1973,13,0.00905375
2,1,1973,13,0.00368025
1,2,1973,13,0.025606
2,2,1973,13,0.0046195
1,1,1974,13,0.01139275
2,1,1974,13,0.0059515
1,2,1974,13,0.0311757500000001
2,2,1974,13,0.00702450000000004
1,1,1975,13,0.00539975000000001
2,1,1975,13,0.00535225
1,2,1975,13,0.0152397500000001
2,2,1975,13,0.00679275000000001
1,1,1976,13,0.00941500000000001
2,1,1976,13,0.00908375
1,2,1976,13,0.02655925
2,2,1976,13,0.01076725
1,1,1977,13,0.0020375
2,1,1977,13,0.00387575000000001
1,2,1977,13,0.00604400000000005
2,2,1977,13,0.00561675000000006
1,1,1978,13,0.00451400000000002
2,1,1978,13,0.00158800000000001
1,2,1978,13,0.01274825
2,2,1978,13,0.00332600000000005
1,1,1979,13,0.00619450000000002
2,1,1979,13,0.007718
1,2,1979,13,0.01801875
2,2,1979,13,0.01055675
1,1,1980,13,0.00765775000000002
2,1,1980,13,0.00914675000000001
1,2,1980,13,0.0223135
2,2,1980,13,0.0110255
1,1,1981,13,0.0087005
2,1,1981,13,0.0158845
1,2,1981,13,0.025492
2,2,1981,13,0.0169860000000001
1,1,1982,13,0.00979849999999999
2,1,1982,13,0.01179575
1,2,1982,13,0.028038
2,2,1982,13,0.01429475
1,1,1983,13,0.006581
2,1,1983,13,0.00667200000000001
1,2,1983,13,0.01871225
2,2,1983,13,0.00882150000000004
1,1,1984,13,0.00746125
2,1,1984,13,0.00841550000000002
1,2,1984,13,0.02150275
2,2,1984,13,0.00969375000000006
1,1,1985,13,0.00963724999999999
2,1,1985,13,0.00600900000000001
1,2,1985,13,0.0275775
2,2,1985,13,0.01019725
1,1,1986,13,0.00802750000000002
2,1,1986,13,0.01045925
1,2,1986,13,0.0224205000000001
2,2,1986,13,0.01482225
1,1,1987,13,0.00853200000000001
2,1,1987,13,0.00932850000000002
1,2,1987,13,0.0234435000000001
2,2,1987,13,0.0141245
1,1,1988,13,0.011731
2,1,1988,13,0.01233075
1,2,1988,13,0.032122
2,2,1988,13,0.02050175
1,1,1989,13,0.012281
2,1,1989,13,0.00704300000000002
1,2,1989,13,0.03105125
2,2,1989,13,0.0124155
