Fleet,Length,Sel
19,42.5,9.89319e-05
20,42.5,0.000278261
21,42.5,1.7503e-05
1,43.5,0.0282914
2,43.5,0.000341375
3,43.5,0.00479823
4,43.5,0.000259002
5,43.5,0.000341375
6,43.5,0.00479823
7,43.5,0.000341375
8,43.5,0.0282914
9,43.5,0.000341375
10,43.5,0.0282914
11,43.5,0.000115199
12,43.5,0.000240484
13,43.5,2.27192e-05
14,43.5,0.000240484
15,43.5,0.0282914
16,43.5,0.000115199
17,43.5,0.000240484
18,43.5,0.0282914
19,43.5,0.000115199
20,43.5,0.000341375
21,43.5,2.27192e-05
1,44.5,0.0303266
2,44.5,0.000417723
3,44.5,0.00509225
4,44.5,0.000309411
5,44.5,0.000417723
6,44.5,0.00509225
7,44.5,0.000417723
8,44.5,0.0303266
9,44.5,0.000417723
10,44.5,0.0303266
11,44.5,0.00013397
12,44.5,0.00025172
13,44.5,2.93975e-05
14,44.5,0.00025172
15,44.5,0.0303266
16,44.5,0.00013397
17,44.5,0.00025172
18,44.5,0.0303266
19,44.5,0.00013397
20,44.5,0.000417723
21,44.5,2.93975e-05
1,45.5,0.0324861
2,45.5,0.000509827
3,45.5,0.00540419
4,45.5,0.000368916
5,45.5,0.000509827
6,45.5,0.00540419
7,45.5,0.000509827
8,45.5,0.0324861
9,45.5,0.000509827
10,45.5,0.0324861
11,45.5,0.000155604
12,45.5,0.00026348
13,45.5,3.79198e-05
14,45.5,0.00026348
15,45.5,0.0324861
16,45.5,0.000155604
17,45.5,0.00026348
18,45.5,0.0324861
19,45.5,0.000155604
20,45.5,0.000509827
21,45.5,3.79198e-05
1,46.5,0.0347756
2,46.5,0.000620634
3,46.5,0.00573513
4,46.5,0.000439014
5,46.5,0.000620634
6,46.5,0.00573513
7,46.5,0.000620634
8,46.5,0.0347756
9,46.5,0.000620634
10,46.5,0.0347756
11,46.5,0.000180501
12,46.5,0.00027579
13,46.5,4.87593e-05
14,46.5,0.00027579
15,46.5,0.0347756
16,46.5,0.000180501
17,46.5,0.00027579
18,46.5,0.0347756
19,46.5,0.000180501
20,46.5,0.000620634
21,46.5,4.87593e-05
1,47.5,0.037201
2,47.5,0.000753573
3,47.5,0.00608622
4,47.5,0.000521422
5,47.5,0.000753573
6,47.5,0.00608622
7,47.5,0.000753573
8,47.5,0.037201
9,47.5,0.000753573
10,47.5,0.037201
11,47.5,0.000209118
12,47.5,0.000288674
13,47.5,6.25007e-05
14,47.5,0.000288674
15,47.5,0.037201
16,47.5,0.000209118
17,47.5,0.000288674
18,47.5,0.037201
19,47.5,0.000209118
20,47.5,0.000753573
21,47.5,6.25007e-05
1,48.5,0.0397683
2,48.5,0.000912625
3,48.5,0.00645865
4,48.5,0.000618101
5,48.5,0.000912625
6,48.5,0.00645865
7,48.5,0.000912625
8,48.5,0.0397683
9,48.5,0.000912625
