Area,Sex,Yr,Age,B
1,2,1993,1,1326.59
1,2,1994,1,1201.11
1,2,1995,1,1309.04
1,2,1996,1,840.543
1,2,1997,1,612.256
1,2,1998,1,1037.8
1,2,1999,1,1226.67
1,2,2000,1,490.21
1,2,2001,1,720.332
1,2,2002,1,1278.13
1,2,2003,1,711.1
1,2,2004,1,926.427
1,2,2005,1,1077.87
1,2,2006,1,1204.64
1,2,2007,1,1573.97
1,2,2008,1,726.012
1,2,2009,1,1565.39
1,2,2010,1,1481.9
1,2,2011,1,1382.76
1,2,2012,1,990.817
1,2,2013,1,1151.85
1,2,2014,1,955.932
1,2,2015,1,367.321
1,2,2016,1,786.7
1,2,2017,1,429.047
1,2,2018,1,697.969
1,2,2019,1,717.447
1,2,2020,1,1415.99
1,2,2021,1,871.461
1,2,2022,1,503.671
1,2,2023,1,1018.43
2,1,1952,1,2249.93
2,1,1953,1,2269.79
2,1,1954,1,2269.97
2,1,1955,1,2269.83
2,1,1956,1,2269.31
2,1,1957,1,2269.04
2,1,1958,1,2268.65
2,1,1959,1,2268.41
2,1,1960,1,2268.09
2,1,1961,1,2267.77
2,1,1962,1,2267.16
2,1,1963,1,2266.93
2,1,1964,1,2265.96
2,1,1965,1,2266.19
2,1,1966,1,2265.8
2,1,1967,1,2265.02
2,1,1968,1,2263.9
2,1,1969,1,2263.93
2,1,1970,1,2248.48
2,1,1971,1,2244.29
2,1,1972,1,2239.59
2,1,1973,1,2232.66
2,1,1974,1,2225.24
2,1,1975,1,2216.87
2,1,1976,1,2207.01
2,1,1977,1,2196.18
2,1,1978,1,2183.27
2,1,1979,1,2168.97
2,1,1980,1,2156.23
2,1,1981,1,2143.73
2,1,1982,1,2139.28
2,1,1983,1,2146.87
2,1,1984,1,2122.91
2,1,1985,1,2320.33
2,1,1986,1,2100.58
2,1,1987,1,1983.36
2,1,1988,1,2157.89
2,1,1989,1,2334.09
2,1,1990,1,2515.33
2,1,1991,1,3765.19
2,1,1992,1,2149.53
2,1,1993,1,2758.69
2,1,1994,1,2497.76
2,1,1995,1,2720.91
2,1,1996,1,1747.26
2,1,1997,1,1274.15
2,1,1998,1,2164.03
2,1,1999,1,2554.72
2,1,2000,1,1021.69
2,1,2001,1,1500.67
2,1,2002,1,2662.35
2,1,2003,1,1476.4
2,1,2004,1,1924.3
2,1,2005,1,2233.6
2,1,2006,1,2504.22
2,1,2007,1,3259.09
2,1,2008,1,1505.54
2,1,2009,1,3242.11
2,1,2010,1,3067.12
2,1,2011,1,2870.77
2,1,2012,1,2054.94
2,1,2013,1,2386.62
2,1,2014,1,1979.06
2,1,2015,1,758.379
2,1,2016,1,1623.39
2,1,2017,1,885.546
2,1,2018,1,1440.69
2,1,2019,1,1479.55
2,1,2020,1,2926.33
2,1,2021,1,1805.23
2,1,2022,1,1043.62
2,1,2023,1,2109.06
2,2,1952,1,2788.1
2,2,1953,1,2846.18
2,2,1954,1,2846.41
2,2,1955,1,2846.18
2,2,1956,1,2845.48
2,2,1957,1,2845.13
2,2,1958,1,2844.65
2,2,1959,1,2844.32
2,2,1960,1,2843.93
2,2,1961,1,2843.55
2,2,1962,1,2842.67
2,2,1963,1,2842.44
2,2,1964,1,2841.08
2,2,1965,1,2841.58
2,2,1966,1,2841.04
2,2,1967,1,2840.02
2,2,1968,1,2838.5
2,2,1969,1,2838.75
2,2,1970,1,2819.38
2,2,1971,1,2814.11
2,2,1972,1,2808.21
2,2,1973,1,2799.48
2,2,1974,1,2790.23
2,2,1975,1,2779.64
2,2,1976,1,2767.04
2,2,1977,1,2753.43
2,2,1978,1,2737.43
2,2,1979,1,2719.48
2,2,1980,1,2703.21
2,2,1981,1,2687.67
2,2,1982,1,2681.92
2,2,1983,1,2691.73
2,2,1984,1,2661.67
2,2,1985,1,2909.11
2,2,1986,1,2633.37
2,2,1987,1,2486.54
2,2,1988,1,2705.27
2,2,1989,1,2925.58
2,2,1990,1,3153.29
2,2,1991,1,4719.97
2,2,1992,1,2694.82
2,2,1993,1,3458.18
2,2,1994,1,3131.23
2,2,1995,1,3410.48
2,2,1996,1,2190.22
2,2,1997,1,1597.22
2,2,1998,1,2712.79
2,2,1999,1,3201.32
2,2,2000,1,1280.24
2,2,2001,1,1880.62
2,2,2002,1,3335.47
2,2,2003,1,1848.35
2,2,2004,1,2410.24
2,2,2005,1,2795.95
2,2,2006,1,3136.8
2,2,2007,1,4079.2
2,2,2008,1,1885.26
2,2,2009,1,4058.64
2,2,2010,1,3839.06
2,2,2011,1,3595.41
2,2,2012,1,2572.07
2,2,2013,1,2987.65
2,2,2014,1,2476.89
2,2,2015,1,948.757
2,2,2016,1,2030.56
2,2,2017,1,1107.57
2,2,2018,1,1801.7
2,2,2019,1,1849.98
2,2,2020,1,3660.96
2,2,2021,1,2260.38
2,2,2022,1,1306.64
2,2,2023,1,2639.9
1,1,1952,2,1755.63
1,1,1953,2,1768.39
1,1,1954,2,1767.68
1,1,1955,2,1763.48
1,1,1956,2,1765.69
1,1,1957,2,1766.81
1,1,1958,2,1764.92
1,1,1959,2,1761.85
1,1,1960,2,1763.59
1,1,1961,2,1764.01
1,1,1962,2,1761.75
1,1,1963,2,1757.61
1,1,1964,2,1755.71
1,1,1965,2,1759.51
1,1,1966,2,1747.25
1,1,1967,2,1746.81
1,1,1968,2,1752.47
1,1,1969,2,1739.68
1,1,1970,2,1747.78
1,1,1971,2,1733.89
1,1,1972,2,1720.65
1,1,1973,2,1718.32
1,1,1974,2,1715.01
1,1,1975,2,1702.38
1,1,1976,2,1711.32
1,1,1977,2,1692.84
1,1,1978,2,1704.13
1,1,1979,2,1689.1
1,1,1980,2,1671.74
1,1,1981,2,1656.05
1,1,1982,2,1642.8
1,1,1983,2,1638.12
1,1,1984,2,1654.46
1,1,1985,2,1631.67
1,1,1986,2,1777.61
1,1,1987,2,1616.17
1,1,1988,2,1525.6
1,1,1989,2,1653.97
1,1,1990,2,1791.13
1,1,1991,2,1934.16
1,1,1992,2,2900.71
1,1,1993,2,1653.34
1,1,1994,2,2129.25
1,1,1995,2,1923.18
1,1,1996,2,2102.98
1,1,1997,2,1339.1
1,1,1998,2,962.396
1,1,1999,2,1629.24
1,1,2000,2,1917.54
1,1,2001,2,767.933
1,1,2002,2,1125.22
1,1,2003,2,1994.94
1,1,2004,2,1116.77
1,1,2005,2,1454.55
1,1,2006,2,1698.43
1,1,2007,2,1917.91
1,1,2008,2,2505.71
1,1,2009,2,1152.78
1,1,2010,2,2485.82
1,1,2011,2,2352.18
1,1,2012,2,2185.41
1,1,2013,2,1569.78
1,1,2014,2,1825.65
1,1,2015,2,1517.32
1,1,2016,2,582.099
1,1,2017,2,1246.44
1,1,2018,2,677.389
1,1,2019,2,1100.78
1,1,2020,2,1131.61
1,1,2021,2,2259.32
1,1,2022,2,1389.84
1,1,2023,2,799.799
1,2,1952,2,2143.38
1,2,1953,2,2173.21
1,2,1954,2,2172.19
1,2,1955,2,2166.13
1,2,1956,2,2168.95
1,2,1957,2,2170.85
1,2,1958,2,2168.3
1,2,1959,2,2163.7
1,2,1960,2,2166.14
1,2,1961,2,2166.96
1,2,1962,2,2163.69
1,2,1963,2,2157.55
1,2,1964,2,2154.68
1,2,1965,2,2160.18
1,2,1966,2,2142.25
1,2,1967,2,2141.16
1,2,1968,2,2149.74
1,2,1969,2,2130.84
1,2,1970,2,2142.62
1,2,1971,2,2125.91
1,2,1972,2,2106.5
1,2,1973,2,2103.38
1,2,1974,2,2099.75
1,2,1975,2,2083.2
1,2,1976,2,2097.38
1,2,1977,2,2072.79
1,2,1978,2,2091.24
1,2,1979,2,2072.12
1,2,1980,2,2049.14
1,2,1981,2,2028.44
