Fleet,Fleet_Name,Area,Yr,Seas,Catch
16,16.EU.2C,2,1990,4,0
16,16.EU.2C,2,1991,1,0
16,16.EU.2C,2,1991,2,0
16,16.EU.2C,2,1991,3,0
16,16.EU.2C,2,1991,4,0
16,16.EU.2C,2,1992,1,0
16,16.EU.2C,2,1992,2,0
16,16.EU.2C,2,1992,3,0
16,16.EU.2C,2,1992,4,0
16,16.EU.2C,2,1993,1,0
16,16.EU.2C,2,1993,2,0
16,16.EU.2C,2,1993,3,0
16,16.EU.2C,2,1993,4,0
16,16.EU.2C,2,1994,1,0
16,16.EU.2C,2,1994,2,0
16,16.EU.2C,2,1994,3,0
16,16.EU.2C,2,1994,4,0
16,16.EU.2C,2,1995,1,0
16,16.EU.2C,2,1995,2,0
16,16.EU.2C,2,1995,3,0
16,16.EU.2C,2,1995,4,0
16,16.EU.2C,2,1996,1,0
16,16.EU.2C,2,1996,2,0
16,16.EU.2C,2,1996,3,0
16,16.EU.2C,2,1996,4,0
16,16.EU.2C,2,1997,1,0
16,16.EU.2C,2,1997,2,0
16,16.EU.2C,2,1997,3,0
16,16.EU.2C,2,1997,4,0
16,16.EU.2C,2,1998,1,0
16,16.EU.2C,2,1998,2,0
16,16.EU.2C,2,1998,3,0
16,16.EU.2C,2,1998,4,0
16,16.EU.2C,2,1999,1,0
16,16.EU.2C,2,1999,2,0
16,16.EU.2C,2,1999,3,0
16,16.EU.2C,2,1999,4,0
16,16.EU.2C,2,2000,1,0
16,16.EU.2C,2,2000,2,0
16,16.EU.2C,2,2000,3,0
16,16.EU.2C,2,2000,4,0
16,16.EU.2C,2,2001,1,0
16,16.EU.2C,2,2001,2,0
16,16.EU.2C,2,2001,3,0
16,16.EU.2C,2,2001,4,0
16,16.EU.2C,2,2002,1,0
16,16.EU.2C,2,2002,2,0
16,16.EU.2C,2,2002,3,0
16,16.EU.2C,2,2002,4,0
16,16.EU.2C,2,2003,1,0
16,16.EU.2C,2,2003,2,0
16,16.EU.2C,2,2003,3,0
16,16.EU.2C,2,2003,4,0
16,16.EU.2C,2,2004,1,0
16,16.EU.2C,2,2004,2,0
16,16.EU.2C,2,2004,3,166.282
16,16.EU.2C,2,2004,4,439.308
16,16.EU.2C,2,2005,1,414.252
16,16.EU.2C,2,2005,2,138.858
16,16.EU.2C,2,2005,3,356.668
16,16.EU.2C,2,2005,4,420.634
16,16.EU.2C,2,2006,1,369.016
16,16.EU.2C,2,2006,2,280.958
16,16.EU.2C,2,2006,3,717.25
16,16.EU.2C,2,2006,4,1628.63
16,16.EU.2C,2,2007,1,1068.13
16,16.EU.2C,2,2007,2,914.686
16,16.EU.2C,2,2007,3,982.803
16,16.EU.2C,2,2007,4,1317.14
16,16.EU.2C,2,2008,1,1065.16
16,16.EU.2C,2,2008,2,611.994
16,16.EU.2C,2,2008,3,466.476
16,16.EU.2C,2,2008,4,589.309
16,16.EU.2C,2,2009,1,328.355
16,16.EU.2C,2,2009,2,475.48
16,16.EU.2C,2,2009,3,310.074
16,16.EU.2C,2,2009,4,111.319
16,16.EU.2C,2,2010,1,65.583
16,16.EU.2C,2,2010,2,462.746
16,16.EU.2C,2,2010,3,226.154
